IN: Indiana, Lifetables (period 1x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02325	0.02278	0.11	100000	2278	97979	7040810	70.41
1960-1969	1	0.00146	0.00146	0.5	97722	142	97651	6942831	71.05
1960-1969	2	0.00093	0.00093	0.5	97580	91	97534	6845181	70.15
1960-1969	3	0.00072	0.00072	0.5	97489	70	97454	6747646	69.21
1960-1969	4	0.00059	0.00059	0.5	97419	57	97391	6650192	68.26
1960-1969	5	0.00056	0.00056	0.5	97362	55	97334	6552802	67.30
1960-1969	6	0.00048	0.00048	0.5	97307	46	97284	6455467	66.34
1960-1969	7	0.00043	0.00043	0.5	97261	42	97240	6358183	65.37
1960-1969	8	0.00042	0.00042	0.5	97219	41	97198	6260944	64.40
1960-1969	9	0.00037	0.00037	0.5	97178	36	97160	6163745	63.43
1960-1969	10	0.00038	0.00038	0.5	97142	37	97123	6066585	62.45
1960-1969	11	0.00040	0.00040	0.5	97104	39	97085	5969462	61.47
1960-1969	12	0.00040	0.00040	0.5	97065	39	97046	5872378	60.50
1960-1969	13	0.00046	0.00046	0.5	97027	45	97004	5775332	59.52
1960-1969	14	0.00057	0.00057	0.5	96982	56	96954	5678328	58.55
1960-1969	15	0.00065	0.00065	0.5	96926	63	96895	5581374	57.58
1960-1969	16	0.00090	0.00090	0.5	96863	87	96820	5484479	56.62
1960-1969	17	0.00110	0.00109	0.5	96776	106	96723	5387660	55.67
1960-1969	18	0.00127	0.00127	0.5	96670	123	96609	5290937	54.73
1960-1969	19	0.00125	0.00125	0.5	96547	121	96487	5194328	53.80
1960-1969	20	0.00124	0.00124	0.5	96427	120	96367	5097841	52.87
1960-1969	21	0.00137	0.00137	0.5	96307	132	96241	5001474	51.93
1960-1969	22	0.00128	0.00128	0.5	96175	123	96113	4905233	51.00
1960-1969	23	0.00129	0.00129	0.5	96052	124	95990	4809120	50.07
1960-1969	24	0.00126	0.00126	0.5	95928	121	95867	4713130	49.13
1960-1969	25	0.00123	0.00123	0.5	95807	118	95748	4617263	48.19
1960-1969	26	0.00122	0.00122	0.5	95689	116	95631	4521515	47.25
1960-1969	27	0.00127	0.00127	0.5	95573	122	95512	4425884	46.31
1960-1969	28	0.00123	0.00123	0.5	95451	117	95393	4330372	45.37
1960-1969	29	0.00142	0.00141	0.5	95334	135	95267	4234979	44.42
1960-1969	30	0.00129	0.00128	0.5	95199	122	95138	4139712	43.48
1960-1969	31	0.00144	0.00144	0.5	95077	137	95009	4044574	42.54
1960-1969	32	0.00162	0.00162	0.5	94940	153	94863	3949566	41.60
1960-1969	33	0.00160	0.00160	0.5	94787	151	94711	3854702	40.67
1960-1969	34	0.00176	0.00176	0.5	94635	167	94552	3759991	39.73
1960-1969	35	0.00182	0.00182	0.5	94469	172	94383	3665439	38.80
1960-1969	36	0.00200	0.00200	0.5	94297	188	94203	3571056	37.87
1960-1969	37	0.00216	0.00216	0.5	94109	203	94007	3476854	36.95
1960-1969	38	0.00239	0.00239	0.5	93906	225	93794	3382846	36.02
1960-1969	39	0.00276	0.00275	0.5	93681	258	93552	3289053	35.11
1960-1969	40	0.00284	0.00284	0.5	93423	265	93291	3195501	34.20
1960-1969	41	0.00299	0.00299	0.5	93158	278	93019	3102210	33.30
1960-1969	42	0.00346	0.00345	0.5	92880	320	92720	3009190	32.40
1960-1969	43	0.00369	0.00369	0.5	92560	341	92389	2916470	31.51
1960-1969	44	0.00411	0.00410	0.5	92218	378	92029	2824081	30.62
1960-1969	45	0.00449	0.00448	0.5	91840	411	91635	2732052	29.75
1960-1969	46	0.00482	0.00481	0.5	91429	439	91209	2640418	28.88
1960-1969	47	0.00543	0.00542	0.5	90990	493	90743	2549208	28.02
1960-1969	48	0.00601	0.00600	0.5	90497	543	90225	2458465	27.17
1960-1969	49	0.00650	0.00647	0.5	89954	582	89663	2368240	26.33
1960-1969	50	0.00729	0.00726	0.5	89372	649	89047	2278577	25.50
1960-1969	51	0.00790	0.00786	0.5	88723	698	88374	2189530	24.68
1960-1969	52	0.00885	0.00881	0.5	88025	776	87637	2101156	23.87
1960-1969	53	0.00943	0.00939	0.5	87249	819	86840	2013519	23.08
1960-1969	54	0.01059	0.01054	0.5	86430	911	85975	1926679	22.29
1960-1969	55	0.01102	0.01096	0.5	85520	937	85051	1840704	21.52
1960-1969	56	0.01226	0.01218	0.5	84582	1030	84067	1755653	20.76
1960-1969	57	0.01346	0.01337	0.5	83552	1117	82993	1671585	20.01
1960-1969	58	0.01489	0.01478	0.5	82435	1219	81825	1588592	19.27
1960-1969	59	0.01555	0.01543	0.5	81216	1253	80589	1506767	18.55
1960-1969	60	0.01707	0.01693	0.5	79963	1354	79286	1426177	17.84
1960-1969	61	0.01878	0.01861	0.5	78609	1463	77878	1346892	17.13
1960-1969	62	0.02110	0.02088	0.5	77146	1611	76341	1269014	16.45
1960-1969	63	0.02240	0.02215	0.5	75535	1673	74699	1192673	15.79
1960-1969	64	0.02361	0.02333	0.5	73862	1724	73001	1117974	15.14
1960-1969	65	0.02642	0.02608	0.5	72139	1881	71198	1044974	14.49
1960-1969	66	0.02740	0.02703	0.5	70258	1899	69309	973775	13.86
1960-1969	67	0.03050	0.03004	0.5	68359	2054	67332	904467	13.23
1960-1969	68	0.03332	0.03277	0.5	66305	2173	65219	837134	12.63
1960-1969	69	0.03584	0.03521	0.5	64132	2258	63003	771915	12.04
1960-1969	70	0.03994	0.03916	0.5	61874	2423	60663	708912	11.46
1960-1969	71	0.04216	0.04129	0.5	59452	2454	58224	648249	10.90
1960-1969	72	0.04780	0.04669	0.5	56997	2661	55667	590025	10.35
1960-1969	73	0.05106	0.04979	0.5	54336	2706	52983	534358	9.83
1960-1969	74	0.05580	0.05429	0.5	51630	2803	50229	481375	9.32
1960-1969	75	0.06125	0.05943	0.5	48827	2902	47376	431146	8.83
1960-1969	76	0.06608	0.06397	0.5	45925	2938	44456	383770	8.36
1960-1969	77	0.07035	0.06796	0.5	42988	2921	41527	339313	7.89
1960-1969	78	0.07800	0.07507	0.5	40066	3008	38562	297786	7.43
1960-1969	79	0.08653	0.08294	0.5	37058	3074	35522	259224	7.00
1960-1969	80	0.09385	0.08964	0.5	33985	3047	32461	223703	6.58
1960-1969	81	0.10183	0.09690	0.5	30938	2998	29439	191241	6.18
1960-1969	82	0.11469	0.10847	0.5	27940	3031	26425	161802	5.79
1960-1969	83	0.12571	0.11828	0.5	24910	2946	23436	135377	5.43
1960-1969	84	0.13749	0.12864	0.5	21963	2825	20551	111941	5.10
1960-1969	85	0.15292	0.14205	0.5	19138	2719	17778	91390	4.78
1960-1969	86	0.16320	0.15089	0.5	16419	2477	15180	73612	4.48
1960-1969	87	0.18507	0.16940	0.5	13942	2362	12761	58431	4.19
1960-1969	88	0.19881	0.18084	0.5	11580	2094	10533	45670	3.94
1960-1969	89	0.21798	0.19655	0.5	9486	1865	8554	35137	3.70
1960-1969	90	0.24109	0.21516	0.5	7621	1640	6802	26584	3.49
1960-1969	91	0.24214	0.21599	0.5	5982	1292	5336	19782	3.31
