PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OK,m,1960-1964,0,0.02716,0.02652,0.12,100000,2652,97660,6735679,67.36
OK,m,1960-1964,1-4,0.00130,0.00517,1.51,97348,504,388134,6638019,68.19
OK,m,1960-1964,5-9,0.00053,0.00262,2.28,96844,254,483530,6249885,64.54
OK,m,1960-1964,10-14,0.00059,0.00297,2.7,96590,286,482292,5766355,59.70
OK,m,1960-1964,15-19,0.00145,0.00721,2.84,96304,695,480017,5284064,54.87
OK,m,1960-1964,20-24,0.00180,0.00897,2.51,95609,858,475908,4804047,50.25
OK,m,1960-1964,25-29,0.00180,0.00898,2.51,94752,851,471636,4328139,45.68
OK,m,1960-1964,30-34,0.00224,0.01114,2.65,93901,1046,467042,3856503,41.07
OK,m,1960-1964,35-39,0.00289,0.01435,2.66,92855,1332,461162,3389461,36.50
OK,m,1960-1964,40-44,0.00466,0.02306,2.71,91523,2111,452777,2928299,32.00
OK,m,1960-1964,45-49,0.00751,0.03693,2.7,89412,3302,439463,2475522,27.69
OK,m,1960-1964,50-54,0.01196,0.05817,2.68,86110,5009,418928,2036059,23.64
OK,m,1960-1964,55-59,0.01725,0.08284,2.62,81101,6718,389526,1617131,19.94
OK,m,1960-1964,60-64,0.02579,0.12145,2.61,74382,9033,350311,1227605,16.50
OK,m,1960-1964,65-69,0.03834,0.17534,2.57,65349,11458,298894,877294,13.42
OK,m,1960-1964,70-74,0.05513,0.24289,2.56,53891,13090,237453,578400,10.73
OK,m,1960-1964,75-79,0.07779,0.32599,2.52,40801,13301,170983,340948,8.36
OK,m,1960-1964,80-84,0.12615,0.47549,2.41,27500,13076,103655,169965,6.18
OK,m,1960-1964,85-89,0.19075,0.62716,2.27,14424,9046,47426,66310,4.60
OK,m,1960-1964,90-94,0.26415,0.74692,2.09,5378,4017,15207,18884,3.51
OK,m,1960-1964,95-99,0.35642,0.84717,1.9,1361,1153,3235,3677,2.70
OK,m,1960-1964,100-104,0.46246,0.91471,1.7,208,190,411,442,2.13
OK,m,1960-1964,105-109,0.57237,0.95364,1.5,18,17,30,31,1.74
OK,m,1960-1964,110+,0.66007,1.00000,1.51,1,1,1,1,1.51
OK,m,1965-1969,0,0.02489,0.02435,0.11,100000,2435,97837,6743734,67.44
OK,m,1965-1969,1-4,0.00104,0.00413,1.69,97565,403,389327,6645897,68.12
OK,m,1965-1969,5-9,0.00047,0.00232,2.32,97161,226,485202,6256570,64.39
OK,m,1965-1969,10-14,0.00059,0.00294,2.89,96936,285,484077,5771369,59.54
OK,m,1965-1969,15-19,0.00163,0.00812,2.69,96651,785,481438,5287291,54.71
OK,m,1965-1969,20-24,0.00200,0.00997,2.55,95866,956,476985,4805853,50.13
OK,m,1965-1969,25-29,0.00191,0.00952,2.54,94910,904,472324,4328868,45.61
OK,m,1965-1969,30-34,0.00219,0.01091,2.57,94006,1025,467535,3856543,41.02
OK,m,1965-1969,35-39,0.00318,0.01580,2.73,92981,1469,461564,3389008,36.45
OK,m,1965-1969,40-44,0.00446,0.02207,2.68,91512,2020,452879,2927444,31.99
OK,m,1965-1969,45-49,0.00726,0.03569,2.65,89492,3194,439951,2474565,27.65
OK,m,1965-1969,50-54,0.01138,0.05545,2.7,86298,4786,420492,2034614,23.58
OK,m,1965-1969,55-59,0.01746,0.08380,2.62,81513,6831,391277,1614122,19.80
OK,m,1965-1969,60-64,0.02605,0.12266,2.63,74682,9160,351658,1222845,16.37
OK,m,1965-1969,65-69,0.03862,0.17655,2.57,65522,11568,299547,871187,13.30
OK,m,1965-1969,70-74,0.05673,0.24916,2.56,53954,13443,236976,571640,10.59
OK,m,1965-1969,75-79,0.08248,0.34146,2.48,40511,13833,167707,334664,8.26
OK,m,1965-1969,80-84,0.12380,0.47008,2.44,26678,12541,101299,166957,6.26
OK,m,1965-1969,85-89,0.18747,0.62108,2.28,14137,8780,46836,65658,4.64
OK,m,1965-1969,90-94,0.26394,0.74588,2.09,5357,3996,15138,18821,3.51
OK,m,1965-1969,95-99,0.35571,0.84677,1.91,1361,1153,3241,3683,2.71
OK,m,1965-1969,100-104,0.46342,0.91532,1.7,209,191,412,443,2.12
OK,m,1965-1969,105-109,0.57505,0.95443,1.5,18,17,29,31,1.73
OK,m,1965-1969,110+,0.66400,1.00000,1.51,1,1,1,1,1.51
OK,m,1970-1974,0,0.02222,0.02178,0.1,100000,2178,98050,6774081,67.74
OK,m,1970-1974,1-4,0.00103,0.00413,1.65,97822,404,390339,6676031,68.25
OK,m,1970-1974,5-9,0.00050,0.00247,2.28,97418,241,486433,6285692,64.52
OK,m,1970-1974,10-14,0.00058,0.00290,2.9,97177,281,485293,5799259,59.68
OK,m,1970-1974,15-19,0.00159,0.00793,2.85,96895,768,482823,5313965,54.84
OK,m,1970-1974,20-24,0.00197,0.00980,2.42,96127,942,478205,4831142,50.26
OK,m,1970-1974,25-29,0.00204,0.01012,2.42,95185,964,473438,4352937,45.73
OK,m,1970-1974,30-34,0.00227,0.01129,2.59,94221,1064,468545,3879499,41.17
OK,m,1970-1974,35-39,0.00304,0.01508,2.59,93157,1405,462401,3410955,36.61
OK,m,1970-1974,40-44,0.00445,0.02202,2.72,91752,2021,454163,2948554,32.14
OK,m,1970-1974,45-49,0.00723,0.03554,2.66,89732,3189,441181,2494391,27.80
OK,m,1970-1974,50-54,0.01111,0.05413,2.63,86542,4685,421622,2053210,23.72
OK,m,1970-1974,55-59,0.01672,0.08043,2.63,81857,6584,393706,1631588,19.93
OK,m,1970-1974,60-64,0.02611,0.12278,2.58,75274,9242,354037,1237882,16.45
OK,m,1970-1974,65-69,0.03765,0.17244,2.56,66031,11387,302412,883845,13.39
OK,m,1970-1974,70-74,0.05661,0.24846,2.54,54645,13577,239819,581434,10.64
OK,m,1970-1974,75-79,0.08288,0.34245,2.47,41067,14063,169694,341615,8.32
OK,m,1970-1974,80-84,0.12112,0.46220,2.44,27004,12481,103045,171921,6.37
OK,m,1970-1974,85-89,0.18394,0.61336,2.28,14523,8908,48428,68875,4.74
OK,m,1970-1974,90-94,0.25215,0.73236,2.14,5615,4112,16309,20447,3.64
OK,m,1970-1974,95-99,0.34884,0.84085,1.92,1503,1264,3622,4138,2.75
OK,m,1970-1974,100-104,0.45548,0.91147,1.71,239,218,479,516,2.16
OK,m,1970-1974,105-109,0.56672,0.95224,1.51,21,20,36,37,1.75
OK,m,1970-1974,110+,0.65573,1.00000,1.53,1,1,2,2,1.53
OK,m,1975-1979,0,0.01726,0.01699,0.09,100000,1699,98456,6889760,68.90
OK,m,1975-1979,1-4,0.00087,0.00347,1.55,98301,342,392368,6791304,69.09
OK,m,1975-1979,5-9,0.00046,0.00229,2.34,97960,225,489201,6398935,65.32
OK,m,1975-1979,10-14,0.00052,0.00261,2.92,97735,255,488145,5909735,60.47
OK,m,1975-1979,15-19,0.00167,0.00834,2.83,97480,813,485633,5421590,55.62
OK,m,1975-1979,20-24,0.00217,0.01080,2.49,96667,1044,480716,4935957,51.06
OK,m,1975-1979,25-29,0.00207,0.01031,2.49,95623,986,475643,4455241,46.59
OK,m,1975-1979,30-34,0.00215,0.01068,2.58,94637,1010,470743,3979598,42.05
OK,m,1975-1979,35-39,0.00255,0.01266,2.65,93626,1186,465350,3508855,37.48
